customer_id,monthly_call_count,monthly_call_duration,international_call_duration,call_drop_count,sms_usage_per_month
1,178,393,22,16,50
2,154,526,59,1,69
3,156,104,67,4,31
4,69,134,73,20,61
5,76,108,88,17,40
6,183,121,26,12,54
7,184,623,17,19,23
8,43,506,69,22,11
9,53,658,63,24,99
10,134,243,4,27,72
11,64,190,13,14,43
12,168,460,67,17,65
13,146,470,26,10,14
14,53,117,32,15,87
15,196,157,89,5,91
16,22,689,52,15,16
17,154,161,83,5,72
18,38,673,33,18,56
19,160,669,38,29,48
20,149,266,89,17,79
21,180,613,75,27,73
22,125,604,50,14,73
23,67,483,72,9,17
24,68,437,52,11,66
25,124,291,82,26,77
26,180,227,45,27,90
27,186,61,23,23,15
28,165,86,71,15,48
29,45,234,84,13,37
30,96,357,11,0,28
31,189,414,41,13,17
32,119,307,50,9,88
33,125,207,74,25,90
34,130,477,38,10,69
35,172,652,54,9,46
36,153,62,97,18,60
37,33,692,57,29,78
38,82,307,32,16,35
39,65,436,6,11,73
40,100,341,84,4,62
41,38,299,57,26,87
42,63,68,91,27,67
43,41,420,13,29,49
44,163,332,49,12,23
45,152,387,86,15,62
46,151,565,95,9,38
47,54,380,80,23,83
48,123,422,34,9,17
49,108,109,45,4,39
50,117,384,47,9,22
51,79,473,41,5,72
52,62,462,30,1,52
53,128,596,56,7,26
54,132,685,58,17,85
55,126,677,80,9,33
56,161,329,36,17,51
57,32,435,36,26,31
58,88,87,84,3,39
59,140,587,91,24,73
60,93,99,68,20,97
61,165,373,20,18,38
62,168,422,15,1,74
63,131,286,46,21,68
64,78,303,32,27,74
65,94,77,93,27,24
66,177,515,18,15,24
67,112,331,7,26,73
68,66,444,30,3,35
69,102,212,43,9,61
70,159,570,11,19,40
71,70,418,8,2,31
72,33,416,29,13,59
73,179,425,74,17,54
74,118,264,66,23,34
75,85,359,32,22,85
76,25,641,6,25,70
77,81,493,50,18,98
78,192,216,85,8,66
79,152,495,59,26,37
80,45,558,43,3,71
81,128,149,77,7,70
82,26,78,67,29,59
83,118,205,49,2,17
84,67,60,98,16,43
85,97,341,0,24,81
86,181,360,18,26,79
87,73,425,17,12,70
88,31,178,83,6,43
89,29,427,67,16,89
90,165,372,73,21,95
91,27,271,83,21,57
92,110,181,38,15,51
93,160,529,15,18,76
94,178,131,44,9,19
95,174,513,65,20,41
96,163,662,77,12,11
97,64,591,1,14,26
98,123,397,49,17,39
99,197,508,47,0,13
100,149,547,52,7,36
101,174,487,41,26,94
102,100,166,97,4,55
103,59,60,66,26,10
104,161,598,4,0,36
105,152,221,64,19,28
106,141,495,47,0,42
107,129,161,81,29,64
108,40,181,77,26,59
109,143,375,78,11,17
110,34,238,81,16,85
111,90,527,17,12,19
112,160,485,85,9,35
113,41,535,3,25,89
114,150,697,32,0,28
115,97,483,66,3,30
116,95,124,69,15,18
117,92,499,50,23,28
118,177,329,38,18,84
119,148,583,69,17,48
120,157,125,20,21,89
121,116,131,92,0,94
122,168,149,39,2,38
123,156,471,66,21,72
124,129,582,10,12,20
125,72,314,86,20,52
126,147,89,87,9,18
127,168,650,17,1,33
128,192,491,93,10,32
129,20,164,14,25,90
130,151,241,98,2,35
131,126,260,72,13,16
132,191,115,56,11,86
133,81,609,86,2,88
134,154,138,19,3,30
135,112,271,40,19,61
136,115,285,98,13,31
137,52,188,84,26,56
138,189,374,2,15,37
139,38,166,54,23,98
140,23,615,77,2,91
141,161,172,60,18,70
142,20,165,67,12,83
143,166,572,40,28,16
144,119,171,57,3,36
145,192,611,52,14,29
146,150,351,1,0,69
147,99,112,55,24,42
148,157,156,24,5,61
149,167,387,83,18,33
150,187,579,93,18,30
151,144,374,29,8,71
152,167,209,48,21,85
153,177,616,49,27,23
154,46,648,37,25,37
155,89,108,63,28,15
156,111,271,55,9,10
157,77,177,31,16,19
158,104,118,73,9,72
159,78,164,73,13,94
160,88,578,85,19,52
161,126,191,91,13,73
162,88,476,94,26,55
163,149,649,20,19,77
164,41,570,71,0,90
165,97,79,82,19,72
166,192,687,1,2,14
167,69,303,51,4,26
168,82,134,7,25,30
169,67,404,5,20,28
170,126,149,11,9,89
171,98,668,22,25,47
172,99,100,69,6,93
173,139,128,5,21,99
174,104,277,63,13,87
175,131,339,78,13,10
176,161,615,87,29,34
177,43,144,19,19,91
178,118,613,73,6,45
179,67,221,57,20,27
180,126,614,21,3,36
181,109,278,11,4,91
182,153,332,3,13,49
183,124,399,55,23,26
184,49,172,10,6,17
185,137,511,39,22,43
186,171,326,30,2,14
187,108,289,57,14,68
188,135,674,53,12,19
189,115,688,52,15,20
190,137,657,72,0,15
191,196,573,97,24,87
192,35,161,32,27,43
193,132,162,9,11,33
194,198,666,24,18,94
195,76,401,85,27,91
196,45,471,45,20,78
197,101,477,87,18,39
198,133,672,32,12,61
199,100,457,77,17,28
200,191,203,87,1,88
201,70,118,91,25,54
202,108,661,84,9,97
203,79,669,54,16,54
204,29,229,54,24,49
205,193,155,95,14,86
206,109,260,89,17,43
207,128,458,95,16,70
208,101,378,95,0,97
209,183,352,47,18,51
210,53,178,88,16,63
211,22,666,24,28,42
212,140,319,8,21,96
213,148,425,70,11,23
214,191,337,11,8,63
215,177,625,21,11,89
216,140,367,49,29,22
217,94,126,65,11,32
218,29,520,63,16,52
219,76,395,31,10,15
220,39,125,52,26,69
221,196,374,4,11,32
222,26,257,72,9,91
223,191,310,86,29,60
224,23,451,2,19,58
225,199,669,48,3,70
226,114,374,83,15,64
227,20,140,77,3,20
228,88,473,6,12,49
229,56,484,95,4,42
230,23,307,97,5,77
231,165,654,71,2,85
232,68,67,33,13,43
233,133,121,99,10,72
234,82,314,18,4,36
235,160,348,42,27,95
236,148,331,83,12,32
237,119,348,35,7,51
238,69,620,8,3,41
239,125,522,56,14,42
240,164,464,5,27,73
241,129,477,5,9,43
242,39,505,95,22,62
243,135,632,60,13,51
244,29,153,38,13,46
245,59,246,25,4,61
246,45,70,26,14,87
247,33,222,29,15,26
248,50,452,21,0,93
249,172,359,21,11,75
250,154,326,6,1,61
251,55,468,32,8,56
252,104,66,38,14,94
253,128,502,46,6,58
254,20,392,85,4,22
255,47,143,14,12,30
256,107,403,81,29,14
257,183,601,23,10,55
258,130,92,53,3,44
259,75,384,22,12,13
260,70,109,27,29,92
261,99,234,80,25,45
262,44,452,27,22,43
263,146,199,5,25,29
264,190,453,15,14,40
265,184,519,74,4,92
266,121,267,47,18,75
267,124,364,21,29,40
268,44,691,79,18,41
269,106,73,69,8,62
270,69,321,2,17,43
271,73,403,82,18,98
272,56,320,92,28,87
273,33,194,27,5,82
274,25,312,5,8,98
275,35,487,14,8,89
276,196,392,61,27,23
277,108,415,83,20,37
278,108,79,47,11,48
279,144,474,41,16,74
280,33,502,64,0,92
281,55,230,61,29,94
282,179,480,89,15,81
283,166,492,33,1,76
284,133,112,43,0,75
285,145,477,75,24,82
286,43,689,62,12,80
287,82,239,21,23,36
288,44,507,63,16,90
289,54,62,81,22,32
290,95,695,4,27,25
291,64,91,91,0,43
292,57,312,30,15,38
293,113,582,81,4,41
294,148,101,99,25,43
295,50,382,1,25,30
296,74,625,3,25,38
297,162,84,28,12,77
298,187,130,47,28,83
299,157,478,90,9,25
300,94,180,58,7,89
301,174,630,15,29,10
302,130,647,21,17,21
303,112,464,10,16,41
304,131,381,73,13,24
305,132,172,13,9,70
306,74,443,24,8,23
307,78,598,88,20,25
308,109,653,97,17,86
309,172,144,54,9,17
310,95,535,87,3,35
311,86,530,41,1,47
312,87,636,71,19,63
313,126,335,17,21,38
314,38,463,65,13,48
315,56,61,69,0,69
316,130,242,56,21,93
317,169,489,22,13,62
318,156,490,14,26,19
319,60,334,63,26,85
320,40,141,22,2,83
321,144,659,66,21,77
322,109,271,78,1,28
323,82,392,44,14,13
324,82,408,8,1,49
325,174,89,87,17,72
326,67,210,28,24,53
327,48,247,0,11,11
328,58,122,50,15,93
329,24,560,82,20,32
330,169,430,40,5,89
331,74,555,53,19,24
332,57,508,72,4,95
333,141,154,84,6,45
334,147,161,68,17,69
335,143,225,23,28,65
336,168,300,60,5,51
337,152,397,47,5,62
338,127,529,69,20,38
339,92,273,76,7,62
340,42,673,94,20,94
341,106,331,5,26,77
342,104,163,94,15,17
343,81,328,24,16,34
344,138,543,15,24,94
345,70,69,75,21,46
346,58,284,28,9,35
347,134,201,92,3,90
348,88,252,7,24,71
349,137,458,50,9,47
350,51,582,29,23,67
351,106,686,45,13,19
352,102,431,25,8,17
353,58,99,21,20,58
354,144,116,78,0,45
355,104,575,74,15,71
356,88,222,75,13,20
357,89,297,40,10,86
358,33,612,99,4,30
359,79,203,36,15,90
360,89,413,61,6,40
361,194,70,48,24,77
362,39,664,79,25,91
363,140,200,89,9,92
364,84,121,53,19,55
365,160,263,19,4,33
366,51,449,81,12,46
367,65,284,27,23,18
368,121,329,56,13,57
369,117,465,14,26,66
370,36,605,48,19,21
371,135,514,49,13,54
372,101,691,29,26,20
373,41,632,5,19,75
374,91,232,57,20,95
375,43,206,39,2,59
376,62,503,20,28,99
377,59,318,0,29,15
378,44,205,61,18,73
379,152,326,83,12,23
380,151,169,2,8,70
381,162,448,61,23,33
382,41,644,95,28,96
383,110,145,0,17,13
384,107,418,25,28,87
385,66,594,47,8,85
386,93,562,72,2,91
387,54,66,7,7,33
388,104,668,71,27,72
389,141,345,39,23,55
390,27,320,73,23,41
391,170,596,76,12,11
392,48,235,96,25,38
393,158,344,90,20,89
394,75,122,37,20,28
395,20,487,58,14,27
396,93,232,17,27,40
397,21,611,59,28,57
398,65,446,25,22,39
399,164,160,51,19,17
400,72,683,51,28,54
401,43,190,41,25,74
402,140,340,70,23,70
403,78,428,66,8,29
404,150,458,94,18,36
405,35,221,11,19,86
406,40,626,0,4,87
407,129,297,53,27,67
408,69,656,92,29,20
409,90,76,81,2,19
410,120,285,74,4,60
411,29,200,24,19,31
412,174,76,35,18,72
413,57,357,42,19,57
414,158,285,86,16,76
415,59,598,99,28,37
416,96,297,85,1,69
417,153,561,14,19,37
418,114,611,14,23,89
419,28,178,86,4,92
420,87,119,15,16,61
421,104,441,27,8,69
422,110,151,75,20,61
423,92,576,13,10,88
424,37,664,16,11,85
425,71,203,33,24,87
426,88,590,71,7,30
427,94,444,24,0,14
428,195,96,38,2,56
429,167,292,76,28,97
430,20,119,48,4,17
431,171,241,49,7,37
432,125,325,26,20,85
