customer_id,customer_satisfaction_score,customer_complaints,customer_feedback_score,technical_support_rating,has_contacted_support,churn_risk_score
1,9.317,17,5,5,TRUE,0.333
2,3.039,3,1,3,FALSE,0.026
3,8.145,10,4,4,FALSE,0.063
4,7.371,9,2,4,FALSE,0.132
5,7.181,11,5,4,FALSE,0.713
6,4.393,8,5,5,FALSE,0.1
7,5.294,16,3,4,TRUE,0.263
8,6.489,19,1,2,FALSE,0.719
9,1.711,13,2,2,FALSE,0.773
10,6.996,15,3,3,FALSE,0.919
11,8.935,12,2,2,FALSE,0.284
12,2.728,12,4,5,FALSE,0.777
13,9.244,14,4,2,TRUE,0.576
14,2.046,11,4,2,FALSE,0.249
15,9.628,2,5,4,TRUE,0.249
16,4.984,5,4,1,FALSE,0.569
17,7.104,13,3,4,FALSE,0.668
18,9.616,14,5,1,FALSE,0.348
19,1.291,15,4,5,FALSE,0.48
20,3.484,9,5,1,FALSE,0.32
21,5.725,8,1,5,FALSE,0.965
22,2.525,4,3,5,FALSE,0.806
23,1.093,12,4,2,TRUE,0.123
24,8.913,13,1,5,FALSE,0.358
25,9.295,7,2,1,TRUE,0.136
26,5.374,9,4,2,FALSE,0.718
27,7.907,8,2,1,FALSE,0.644
28,6.156,11,2,3,FALSE,0.611
29,6.937,12,4,5,TRUE,0.048
30,4.792,2,4,1,FALSE,0.871
31,1.122,8,5,3,FALSE,0.743
32,6.452,0,4,2,FALSE,0.959
33,9.744,19,5,4,FALSE,0.008
34,4.637,16,2,5,FALSE,0.61
35,8.264,1,1,1,TRUE,0.132
36,1.171,10,1,5,FALSE,0.043
37,4.738,14,5,2,FALSE,0.456
38,4.417,16,5,2,TRUE,0.266
39,8.906,4,3,4,FALSE,0.949
40,6.529,14,5,1,FALSE,0.875
41,6.247,1,5,2,FALSE,0.53
42,9.198,4,1,2,FALSE,0.534
43,8.506,5,2,4,FALSE,0.074
44,4.14,10,3,2,FALSE,0.653
45,3.651,7,3,5,FALSE,0.203
46,4.52,15,2,3,FALSE,0.226
47,2.341,15,2,4,FALSE,0.52
48,5.952,19,5,1,TRUE,0.664
49,9.197,19,2,4,FALSE,0.427
50,3.364,11,3,3,FALSE,0.137
51,2.941,3,3,3,FALSE,0.056
52,4.532,7,1,3,TRUE,0.931
53,1.149,2,1,5,FALSE,0.396
54,1.974,12,3,1,TRUE,0.96
55,2.145,5,3,5,TRUE,0.342
56,4.874,14,5,1,TRUE,0.767
57,4.605,5,3,5,FALSE,0.019
58,4.253,6,2,4,FALSE,0.637
59,8.181,0,4,5,FALSE,0.153
60,8.149,18,1,1,FALSE,0.532
61,8.347,14,4,4,FALSE,0.666
62,7.668,5,2,5,FALSE,0.099
63,7.591,16,2,3,FALSE,0.465
64,6.419,10,5,1,TRUE,0.594
65,5.251,18,2,3,FALSE,0.101
66,4.602,11,2,2,FALSE,0.876
67,5.794,14,3,1,FALSE,0.986
68,6.648,16,4,2,TRUE,0.276
69,8.086,9,1,5,TRUE,0.593
70,2.88,16,1,4,FALSE,0.274
71,4.878,6,3,5,TRUE,0.554
72,1.16,4,3,1,TRUE,0.181
73,5.613,7,2,3,FALSE,0.561
74,2.51,0,2,4,FALSE,0.53
75,6.349,0,3,2,TRUE,0.161
76,3.499,9,1,1,FALSE,0.896
77,9.501,12,2,3,FALSE,0.394
78,8.71,5,4,4,TRUE,0.589
79,7.751,9,1,5,FALSE,0.258
80,6.415,14,4,3,FALSE,0.703
81,6.188,15,3,5,FALSE,0.653
82,6.22,14,1,1,FALSE,0.984
83,1.253,2,3,2,TRUE,0.768
84,1.322,10,2,3,FALSE,0.414
85,1.501,6,2,3,FALSE,0.873
86,5.054,16,4,2,FALSE,0.132
87,5.099,15,2,3,TRUE,0.916
88,8.331,7,5,2,FALSE,0.79
89,8.193,0,1,2,FALSE,0.768
90,9.157,6,3,3,FALSE,0.112
91,6.506,10,2,2,TRUE,0.262
92,4.104,13,1,3,TRUE,0.702
93,6.052,10,1,1,FALSE,0.1
94,9.993,8,1,4,FALSE,0.303
95,4.944,16,5,5,FALSE,0.037
96,8.458,7,1,5,TRUE,0.19
97,3.51,19,3,4,FALSE,0.255
98,2.286,9,2,3,FALSE,0.902
99,5.007,19,1,2,TRUE,0.585
100,9.798,12,3,4,FALSE,0.017
101,6.714,6,1,1,FALSE,0.126
102,8.48,11,2,5,FALSE,0.157
103,8.053,5,3,3,FALSE,0.601
104,3.561,6,4,3,FALSE,0.971
105,7.186,10,4,4,FALSE,0.263
106,6.381,1,1,2,FALSE,0.868
107,1.914,7,2,4,FALSE,0.789
108,9.256,2,3,4,TRUE,0.644
109,5.628,14,1,4,TRUE,0.233
