customer_id,monthly_online_purchases,avg_cart_value,most_purchased_category,ad_clicks_per_month,offer_response_rate,marketing_emails_opened,preferred_contact_channel
1,38,184,Electronics,64,0.454,6,Phone
2,29,318,Entertainment,3,0.308,3,SMS
3,18,66,Fast_Food,33,0.387,1,Email
4,35,225,Entertainment,56,0.528,6,App
5,30,65,Groceries,67,0.225,7,App
6,24,521,Clothing,61,0.632,16,App
7,14,381,Electronics,43,0.854,5,Phone
8,1,247,Fast_Food,33,0.218,18,Email
9,34,593,Electronics,45,0.381,6,Email
10,25,457,Groceries,24,0.706,1,App
11,15,463,Entertainment,66,0.937,4,Phone
12,23,259,Electronics,41,0.455,12,SMS
13,29,184,Groceries,26,0.742,18,SMS
14,36,623,Fast_Food,22,0.45,11,SMS
15,2,225,Entertainment,33,0.89,11,Email
16,31,441,Fast_Food,50,0.483,15,Email
17,14,530,Groceries,51,0.023,6,Email
18,22,446,Clothing,12,0.403,4,SMS
19,9,503,Electronics,41,0.821,17,Phone
20,37,582,Groceries,46,0.198,6,SMS
21,27,631,Electronics,64,0.189,6,SMS
22,9,56,Fast_Food,64,0.278,2,SMS
23,23,51,Entertainment,13,0.327,16,Email
24,21,271,Fast_Food,18,0.972,2,SMS
25,8,332,Entertainment,4,0.471,2,Email
26,25,127,Entertainment,14,0.642,9,Email
27,33,220,Entertainment,65,0.289,16,App
28,12,582,Fast_Food,32,0.919,8,Phone
29,2,353,Fast_Food,61,0.36,0,SMS
30,28,244,Clothing,11,0.144,7,Email
31,21,523,Groceries,56,0.749,6,Email
32,6,322,Clothing,62,0.629,14,Email
33,22,535,Clothing,11,0.051,2,Phone
34,19,146,Entertainment,26,0.883,13,App
35,24,548,Electronics,57,0.459,12,Phone
36,30,245,Fast_Food,14,0.146,10,App
37,36,245,Entertainment,31,0.25,10,App
38,31,282,Entertainment,38,0.783,2,SMS
39,26,506,Groceries,28,0.573,6,Email
40,17,393,Electronics,21,0.131,17,Email
41,14,68,Groceries,56,0.439,19,Email
42,36,632,Fast_Food,12,0.878,16,Email
43,33,685,Electronics,12,0.458,15,Phone
44,17,372,Fast_Food,28,0.176,18,Phone
45,5,536,Clothing,3,0.537,4,Phone
46,3,302,Entertainment,57,0.591,7,SMS
47,29,265,Clothing,31,0.987,0,App
48,33,18,Electronics,14,0.951,4,App
