customer_id,age,gender,marital_status,region,education_level,employment_status,income,preferred_language
1,38,Male,Married,Urban,Master,Employed,2892,English
2,33,Female,Married,Rural,Bachelor,Employed,1926,English
3,40,Male,Single,Urban,Bachelor,Employed,1164,German
4,47,Male,Married,Urban,PhD,Employed,5891,Spanish
5,33,Male,Single,Rural,Bachelor,Employed,1683,Spanish
6,33,Male,Divorced,Urban,Master,Employed,3917,German
7,47,Male,Married,Urban,Professional Certification,Employed,7044,French
8,41,Female,Single,Rural,Bachelor,Employed,1060,French
9,31,Female,Married,Rural,Bachelor,Employed,945,French
10,39,Male,Married,Urban,Bachelor,Employed,2009,German
11,31,Female,Married,Rural,Bachelor,Employed,1310,English
12,31,Female,Married,Rural,Master,Employed,3352,Spanish
13,36,Male,Married,Urban,Bachelor,Self-Employed,2152,French
14,19,Male,Single,Urban,High School,Student,467,French
15,21,Male,Single,Rural,Bachelor,Student,1190,German
16,30,Female,Married,Urban,PhD,Unemployed,4789,English
17,26,Female,Single,Urban,PhD,Self-Employed,4490,French
18,37,Female,Married,Rural,PhD,Unemployed,4363,English
19,27,Male,Married,Rural,Bachelor,Employed,1264,Spanish
20,23,Female,Single,Urban,Master,Retired,2456,French
21,46,Female,Married,Suburban,Bachelor,Self-Employed,1080,German
22,33,Female,Married,Urban,Bachelor,Employed,1241,English
23,35,Female,Married,Urban,Bachelor,Employed,806,German
24,23,Male,Single,Rural,Master,Retired,3377,German
25,30,Female,Single,Rural,Master,Employed,2029,Spanish
26,35,Female,Single,Urban,PhD,Employed,4116,German
27,25,Female,Married,Suburban,Master,Employed,3391,English
28,38,Male,Single,Rural,Bachelor,Employed,992,English
29,30,Female,Single,Suburban,Master,Employed,2712,French
30,32,Female,Married,Rural,Bachelor,Employed,1737,German
31,30,Female,Married,Rural,Master,Employed,3744,French
32,49,Male,Divorced,Rural,Master,Employed,3694,Spanish
33,34,Male,Married,Urban,Bachelor,Employed,878,Spanish
34,26,Female,Single,Urban,Master,Employed,3113,Spanish
35,41,Female,Single,Urban,Bachelor,Employed,1545,Spanish
36,25,Male,Married,Urban,Master,Self-Employed,2727,French
37,36,Male,Single,Rural,Bachelor,Self-Employed,1034,German
38,19,Female,Single,Rural,High School,Employed,570,German
39,24,Female,Single,Rural,Master,Retired,3932,German
40,36,Female,Married,Suburban,Master,Self-Employed,3878,French
41,40,Female,Married,Rural,Bachelor,Unemployed,2240,German
42,36,Male,Married,Suburban,Professional Certification,Self-Employed,5004,French
43,34,Male,Divorced,Rural,Bachelor,Self-Employed,703,Spanish
44,32,Male,Married,Suburban,PhD,Employed,4502,French
45,23,Male,Single,Suburban,Master,Retired,1674,Spanish
46,29,Male,Married,Urban,PhD,Unemployed,4729,Spanish
47,31,Female,Married,Suburban,PhD,Unemployed,3877,Spanish
48,43,Male,Married,Urban,Bachelor,Self-Employed,1896,German
49,37,Female,Single,Suburban,Bachelor,Self-Employed,1980,French
50,20,Male,Single,Urban,Bachelor,Student,1832,Spanish
51,37,Female,Married,Suburban,Bachelor,Employed,778,French
52,31,Female,Single,Rural,Bachelor,Unemployed,950,German
53,29,Female,Married,Rural,PhD,Employed,3740,French
54,39,Male,Single,Urban,Bachelor,Employed,2265,English
55,43,Female,Divorced,Urban,Professional Certification,Self-Employed,5729,English
56,42,Female,Single,Rural,Bachelor,Employed,1525,English
57,28,Female,Single,Rural,Master,Unemployed,2519,French
58,32,Female,Single,Rural,Master,Self-Employed,3401,Spanish
59,37,Female,Divorced,Rural,Bachelor,Employed,1097,Spanish
60,42,Female,Married,Rural,Bachelor,Employed,1870,Spanish
61,31,Female,Single,Rural,Professional Certification,Employed,5539,French
62,33,Male,Married,Urban,Bachelor,Employed,1715,English
63,26,Male,Married,Urban,Bachelor,Employed,2294,English
64,25,Female,Married,Urban,Master,Employed,3090,Spanish
65,41,Male,Single,Suburban,Bachelor,Employed,2210,German
66,45,Female,Married,Suburban,Bachelor,Employed,804,Spanish
67,34,Male,Married,Rural,Bachelor,Employed,1930,German
68,43,Female,Married,Rural,Bachelor,Employed,1692,Spanish
69,37,Male,Single,Rural,Bachelor,Unemployed,1133,English
70,29,Female,Married,Suburban,Bachelor,Employed,1417,English
71,37,Female,Married,Suburban,Bachelor,Unemployed,1170,English
72,47,Female,Married,Urban,Master,Self-Employed,2793,German
73,34,Female,Married,Suburban,Bachelor,Employed,1677,Spanish
74,47,Female,Married,Urban,Bachelor,Self-Employed,1882,Spanish
75,18,Female,Single,Urban,High School,Student,679,German
76,41,Male,Single,Rural,Bachelor,Self-Employed,1435,German
77,35,Female,Married,Suburban,Bachelor,Employed,980,German
78,32,Female,Single,Urban,Bachelor,Employed,2156,English
79,35,Female,Single,Urban,Bachelor,Self-Employed,2011,English
80,19,Male,Single,Rural,High School,Student,657,Spanish
81,33,Male,Single,Urban,Bachelor,Employed,1289,English
82,37,Male,Married,Urban,PhD,Employed,3962,German
83,46,Male,Married,Urban,Bachelor,Unemployed,796,French
84,30,Female,Married,Urban,PhD,Self-Employed,6300,Spanish
85,28,Female,Married,Rural,Master,Self-Employed,2561,English
86,30,Female,Divorced,Suburban,Master,Self-Employed,3534,English
87,42,Female,Married,Urban,Master,Employed,2090,Spanish
88,37,Female,Married,Rural,Bachelor,Employed,1676,German
89,30,Female,Married,Suburban,Bachelor,Employed,1656,Spanish
90,39,Male,Married,Urban,Professional Certification,Self-Employed,5882,English
91,35,Male,Single,Urban,Bachelor,Self-Employed,1670,Spanish
92,42,Male,Married,Suburban,Professional Certification,Self-Employed,6302,German
93,29,Female,Single,Rural,Master,Employed,2132,English
94,32,Male,Married,Rural,Bachelor,Self-Employed,1854,German
95,31,Female,Married,Suburban,Bachelor,Employed,1902,Spanish
96,23,Female,Single,Urban,PhD,Retired,5604,French
97,37,Male,Single,Urban,Bachelor,Employed,720,Spanish
98,37,Female,Married,Urban,Bachelor,Employed,882,English
99,35,Male,Single,Rural,PhD,Employed,5360,French
100,33,Male,Married,Rural,PhD,Employed,6073,Spanish
101,23,Female,Single,Suburban,Bachelor,Retired,2173,English
102,31,Male,Single,Suburban,Master,Unemployed,3665,English
103,32,Male,Married,Urban,Master,Unemployed,3074,German
104,28,Male,Single,Urban,Master,Employed,1630,Spanish
105,33,Male,Married,Suburban,Bachelor,Employed,1999,German
106,38,Female,Married,Suburban,PhD,Unemployed,4917,French
107,50,Male,Divorced,Rural,Bachelor,Employed,2065,German
108,36,Female,Married,Urban,Master,Unemployed,3811,French
109,37,Male,Single,Suburban,Bachelor,Employed,1252,English
110,34,Male,Married,Urban,Master,Employed,2861,English
111,19,Female,Single,Urban,Middle school,Student,364,French
112,34,Female,Single,Suburban,Bachelor,Employed,1464,English
113,35,Female,Single,Urban,Professional Certification,Employed,6989,Spanish
114,54,Male,Married,Urban,Bachelor,Employed,1354,French
115,33,Male,Single,Suburban,Professional Certification,Self-Employed,6422,German
116,37,Female,Married,Rural,PhD,Employed,6307,French
