customer_id,device_type,num_devices_registered,device_age_months,network_generation,os_type,uses_5g,device_security_patch
1,Smartwatch,1,9,LTE,Other,FALSE,Outdated
2,Smartphone,2,19,5G,Android,FALSE,Up-to-date
3,Feature Phone,4,23,4G,Android,FALSE,Outdated
4,Smartphone,1,11,LTE,Android,FALSE,Up-to-date
5,Smartphone,1,14,LTE,Android,FALSE,Outdated
6,Smartphone,3,21,5G,Android,FALSE,Up-to-date
7,Smartphone,3,1,5G,iOS,FALSE,Outdated
8,Smartwatch,2,17,LTE,Other,FALSE,Up-to-date
9,Smartwatch,1,36,5G,iOS,FALSE,Outdated
10,Smartwatch,1,6,5G,Android,TRUE,Up-to-date
11,Smartphone,2,11,5G,Android,TRUE,Up-to-date
12,Smartphone,1,24,4G,Android,TRUE,Up-to-date
13,Smartphone,2,31,LTE,Android,FALSE,Outdated
14,Smartphone,1,25,5G,Android,FALSE,Outdated
15,Smartphone,2,0,LTE,Android,FALSE,Up-to-date
16,Smartphone,4,15,4G,iOS,FALSE,Outdated
17,Smartphone,1,1,4G,iOS,TRUE,Outdated
18,Smartwatch,3,23,4G,Android,TRUE,Outdated
19,Feature Phone,2,12,4G,Android,FALSE,Up-to-date
20,Smartphone,1,6,5G,Android,FALSE,Up-to-date
21,Smartphone,2,25,4G,iOS,TRUE,Up-to-date
22,Smartphone,2,12,LTE,Android,TRUE,Outdated
23,Smartphone,2,3,4G,Android,TRUE,Up-to-date
24,Tablet,1,12,LTE,Android,FALSE,Outdated
25,Smartphone,1,29,5G,iOS,FALSE,Outdated
26,Smartphone,2,27,4G,iOS,FALSE,Outdated
27,Smartphone,2,18,LTE,Android,TRUE,Up-to-date
28,Feature Phone,3,34,LTE,iOS,FALSE,Up-to-date
29,Feature Phone,4,14,4G,Android,FALSE,Up-to-date
30,Smartphone,2,12,4G,iOS,TRUE,Up-to-date
31,Smartphone,4,14,5G,Android,FALSE,Up-to-date
32,Smartphone,4,5,4G,iOS,FALSE,Outdated
33,Smartphone,2,22,LTE,iOS,FALSE,Up-to-date
34,Smartphone,3,36,LTE,Android,FALSE,Up-to-date
35,Feature Phone,1,11,LTE,Android,FALSE,Up-to-date
36,Smartphone,2,11,LTE,Android,FALSE,Outdated
37,Smartphone,1,18,4G,Android,TRUE,Outdated
38,Smartphone,2,34,4G,Android,TRUE,Up-to-date
39,Smartphone,1,14,4G,iOS,TRUE,Up-to-date
40,Feature Phone,2,18,4G,Other,FALSE,Up-to-date
41,Smartphone,1,31,4G,iOS,TRUE,Up-to-date
42,Smartphone,3,27,4G,Android,TRUE,Outdated
43,Feature Phone,4,1,4G,iOS,FALSE,Up-to-date
44,Feature Phone,1,30,LTE,Android,FALSE,Up-to-date
45,Smartphone,1,6,4G,Android,FALSE,Outdated
46,Smartphone,3,34,4G,Android,TRUE,Outdated
47,Smartphone,1,30,LTE,iOS,TRUE,Up-to-date
48,Smartphone,2,3,4G,iOS,TRUE,Up-to-date
49,Smartphone,4,32,4G,Android,TRUE,Outdated
50,Feature Phone,1,25,4G,iOS,FALSE,Outdated
51,Smartwatch,2,31,5G,Android,FALSE,Outdated
52,Smartphone,2,16,5G,iOS,TRUE,Up-to-date
53,Smartphone,2,24,5G,iOS,FALSE,Outdated
54,Smartphone,4,21,4G,Android,TRUE,Up-to-date
55,Smartphone,3,0,4G,Android,TRUE,Up-to-date
56,Smartphone,4,17,4G,Android,FALSE,Outdated
57,Tablet,4,28,5G,Android,TRUE,Up-to-date
58,Feature Phone,4,5,LTE,iOS,FALSE,Outdated
59,Smartphone,2,35,4G,Android,FALSE,Outdated
