customer_id,latitude,longitude,tower_id,city,state,zip_code,distance_from_tower_km,urbanization_level
1,29.79309977,-95.39822563,23137,Houston,TX,93347,7.06,Low
2,29.73382137,-95.33786767,35024,Houston,TX,83492,5.23,Medium
3,25.80659332,-80.20938247,44494,Miami,FL,51826,3.67,Medium
4,29.72478429,-95.32499093,37673,Houston,TX,84616,17.44,Low
5,40.72949838,-73.97940642,31619,New York,NY,52426,9.48,Medium
6,29.79783721,-95.38351345,19402,Houston,TX,30125,2.49,Low
7,29.72779916,-95.37121871,12835,Houston,TX,27517,5.09,High
8,29.71231344,-95.39229677,21985,Houston,TX,99842,4.22,High
9,34.07198492,-118.2387914,45432,Los Angeles,CA,93390,4.33,Low
10,40.74368292,-74.01636526,42760,New York,NY,37152,19.27,Low
11,34.03961649,-118.2684008,10722,Los Angeles,CA,79908,16.81,Low
12,25.80584343,-80.21482749,25163,Miami,FL,35938,8.2,Medium
13,41.88117371,-87.63661142,44485,Chicago,IL,33037,16.51,Medium
14,40.75890625,-74.0538511,49509,New York,NY,35433,18.36,Medium
15,41.87775126,-87.64958637,43647,Chicago,IL,40983,18.19,High
16,40.72838619,-74.01030738,24670,New York,NY,11199,6.3,Low
17,29.78694925,-95.35512811,16766,Houston,TX,43681,0.71,High
18,29.7134549,-95.3314251,9696,Houston,TX,18470,9.84,High
19,25.73101411,-80.20743427,9711,Miami,FL,87217,15.32,Medium
20,25.74975174,-80.14480728,17789,Miami,FL,37436,3.15,Medium
21,34.07996024,-118.2732101,1528,Los Angeles,CA,19508,16.15,Medium
22,25.71496409,-80.20473013,48874,Miami,FL,10680,11.9,High
23,41.9095626,-87.61373522,23962,Chicago,IL,90329,7.53,Medium
24,40.69262058,-74.04456657,20905,New York,NY,33069,17.24,High
25,34.08698331,-118.25591,18198,Los Angeles,CA,73716,11.23,Medium
26,25.73225428,-80.23055758,45106,Miami,FL,13392,0.22,High
27,25.78856073,-80.16290584,28236,Miami,FL,10573,1.78,High
28,25.78573335,-80.14334959,21621,Miami,FL,18305,15.45,High
29,40.75979972,-74.04058477,29400,New York,NY,31657,5.83,Medium
30,29.75812681,-95.37860707,12862,Houston,TX,99674,9.38,High
31,34.06538122,-118.2310012,6280,Los Angeles,CA,30037,12.02,High
32,40.71758745,-73.97517353,10068,New York,NY,39004,3.66,High
33,40.73143366,-73.96985639,42093,New York,NY,61273,14.08,Low
34,34.01288245,-118.2026956,14143,Los Angeles,CA,81833,18.42,Low
35,34.09102512,-118.2351157,15398,Los Angeles,CA,74295,16.08,Medium
36,25.76912963,-80.16900369,23757,Miami,FL,50163,9.23,Medium
37,40.71799076,-74.05514475,16234,New York,NY,43935,2.12,Medium
38,29.7841756,-95.34618376,9278,Houston,TX,78338,10.44,Medium
39,40.72105163,-74.05329896,28760,New York,NY,58203,7.9,Medium
40,34.0962876,-118.2744181,14077,Los Angeles,CA,48173,4.6,High
41,41.89401826,-87.58757725,48196,Chicago,IL,31533,16.13,High
42,25.79130758,-80.161546,36765,Miami,FL,40620,10.92,Low
43,29.73042535,-95.3288373,20770,Houston,TX,99354,1.05,High
44,34.03171291,-118.233427,16139,Los Angeles,CA,13214,18.27,High
45,40.68365229,-74.05079672,23975,New York,NY,28238,14.77,High
46,40.73894119,-73.9793661,45992,New York,NY,26608,2.81,Low
47,41.85463077,-87.59518362,12243,Chicago,IL,61894,3.29,Medium
48,34.08109,-118.2311192,23337,Los Angeles,CA,41652,12.84,High
49,41.92570756,-87.6752075,801,Chicago,IL,74564,7.58,Low
50,34.07223654,-118.2144913,14806,Los Angeles,CA,64814,3.98,High
51,40.74187183,-73.97585746,23941,New York,NY,43538,6.31,High
52,25.79023491,-80.23033709,9772,Miami,FL,21491,8.7,High
53,29.75504766,-95.41371988,10995,Houston,TX,99910,16.91,Low
54,41.91834827,-87.65071435,3234,Chicago,IL,60292,15.51,Medium
55,25.7125317,-80.18200998,27930,Miami,FL,62522,10.15,Medium
56,41.84426257,-87.67091745,9316,Chicago,IL,34869,13.21,Low
57,25.7724637,-80.14260559,36780,Miami,FL,16032,3.5,Low
58,40.70892976,-74.00053159,27265,New York,NY,45705,13.36,Low
59,41.84996791,-87.66929216,10513,Chicago,IL,31508,5.25,High
60,29.7970157,-95.33533223,40634,Houston,TX,76786,15.36,High
61,25.74003707,-80.19845974,34275,Miami,FL,31071,18.78,High
62,34.01712561,-118.291403,13015,Los Angeles,CA,63727,17.91,High
63,34.04047279,-118.2229881,27152,Los Angeles,CA,81523,3.8,High
64,34.05994143,-118.2540585,44915,Los Angeles,CA,54566,14.09,Medium
65,40.75866845,-73.9704349,14671,New York,NY,99507,2.49,High
66,40.6711866,-74.00736193,34631,New York,NY,54857,6.01,High
67,41.84199755,-87.65787582,25112,Chicago,IL,52491,6.84,Medium
68,34.08372649,-118.234938,14550,Los Angeles,CA,86358,14.92,High
69,41.84983865,-87.62329986,31050,Chicago,IL,20238,15.88,High
70,25.81162041,-80.21347462,32396,Miami,FL,91062,10.59,Medium
71,34.03464433,-118.2548448,48403,Los Angeles,CA,23458,11.76,Medium
72,34.02929946,-118.215705,10305,Los Angeles,CA,54978,11.2,Low
73,34.07235667,-118.2799563,41762,Los Angeles,CA,43085,16.85,High
74,25.73324969,-80.2193008,16052,Miami,FL,18730,9.79,Medium
75,34.03858029,-118.2795023,38495,Los Angeles,CA,71905,18.45,Medium
76,41.85201814,-87.60621907,7475,Chicago,IL,20342,11.44,High
77,25.77197107,-80.20008626,2936,Miami,FL,88094,5.81,High
78,34.07014347,-118.2533196,6124,Los Angeles,CA,41509,17.53,High
79,34.04481899,-118.2205987,47212,Los Angeles,CA,79411,13.67,High
80,40.66444094,-74.010315,42357,New York,NY,67534,10.88,Low
81,29.73491896,-95.36583131,43922,Houston,TX,28581,4.93,Low
82,41.90861167,-87.66144725,17724,Chicago,IL,25161,2.08,Medium
83,34.03570493,-118.2194878,25839,Los Angeles,CA,36934,5.09,Medium
84,41.92539382,-87.66631815,35202,Chicago,IL,82239,13.1,High
85,25.73455069,-80.21140325,40520,Miami,FL,25098,10.53,Medium
86,41.89258427,-87.66628683,14367,Chicago,IL,80920,18.02,High
87,25.78335152,-80.18468734,43392,Miami,FL,46507,4.42,Medium
88,34.03183597,-118.1979637,8674,Los Angeles,CA,95158,15.91,Medium
89,41.91795137,-87.65873464,32600,Chicago,IL,95734,18.53,High
90,34.04413792,-118.2466621,32330,Los Angeles,CA,61440,5.73,High
91,34.01297104,-118.2661955,34407,Los Angeles,CA,75811,9.54,High
92,25.7389406,-80.1705205,28832,Miami,FL,92713,12.71,High
93,29.74822791,-95.41694908,24920,Houston,TX,92799,9.35,Low
94,25.78747565,-80.18017963,28151,Miami,FL,19713,18.5,Medium
95,40.70106314,-73.99545361,47984,New York,NY,50555,8.75,High
96,41.84847684,-87.67652747,32482,Chicago,IL,40249,1.49,High
97,29.78397068,-95.35261421,37318,Houston,TX,98669,8.23,Medium
98,41.85205225,-87.60840864,599,Chicago,IL,89287,16.91,Low
99,40.704862,-74.05017008,46542,New York,NY,81270,6.89,Medium
100,41.927703,-87.58944357,36812,Chicago,IL,76165,0.78,High
101,29.72345733,-95.35936006,30079,Houston,TX,51128,0.4,High
102,34.05925265,-118.2496274,11765,Los Angeles,CA,31487,12.08,Low
103,34.0580788,-118.2297964,42341,Los Angeles,CA,31160,8.84,High
104,29.80591258,-95.38395756,10788,Houston,TX,67370,18.89,High
105,25.76805246,-80.20636612,35947,Miami,FL,29951,2.51,Medium
106,25.72919229,-80.20081059,15508,Miami,FL,21520,14.9,Medium
107,29.77346662,-95.35205456,31652,Houston,TX,89560,13.12,Low
108,25.77131453,-80.17058024,36853,Miami,FL,87943,14.63,High
109,41.90897613,-87.61497168,22344,Chicago,IL,94249,7.47,High
110,29.72559282,-95.36988595,7592,Houston,TX,91791,0.69,Medium
111,29.7161519,-95.3837983,29435,Houston,TX,72585,12.79,High
112,29.71103129,-95.41331919,28258,Houston,TX,93449,11.28,High
113,34.02487602,-118.2023826,3701,Los Angeles,CA,22162,16.21,High
114,41.86338798,-87.6738906,17474,Chicago,IL,73413,18.86,Medium
115,29.73986772,-95.32944222,46600,Houston,TX,97009,16.94,Medium
116,25.74346769,-80.20124217,26527,Miami,FL,70802,1.41,High
117,25.76202917,-80.17001091,7476,Miami,FL,44576,19.17,Low
118,25.7217216,-80.18397695,20507,Miami,FL,15154,3.36,Low
119,34.07809572,-118.2111168,47325,Los Angeles,CA,46468,11.02,High
120,25.78900845,-80.18927004,43322,Miami,FL,17439,4.75,Medium
121,40.66933354,-74.01239447,34315,New York,NY,23552,2.9,High
122,34.0127094,-118.2496813,5560,Los Angeles,CA,18031,9.92,Low
123,25.75351832,-80.15785426,40586,Miami,FL,46759,13.59,High
124,40.74607079,-74.01364932,24549,New York,NY,77970,3.89,Low
125,25.74135372,-80.18919587,22214,Miami,FL,64814,5.45,Medium
126,25.74760086,-80.14724339,24590,Miami,FL,89006,6.7,Low
127,34.04769061,-118.2570131,27099,Los Angeles,CA,99047,9.59,High
128,34.00479478,-118.2675456,40130,Los Angeles,CA,11514,12.16,Medium
129,41.87824444,-87.59631179,20957,Chicago,IL,42537,1.87,Medium
130,41.85494329,-87.6216213,41706,Chicago,IL,14045,10.02,High
131,25.7456125,-80.18171115,25593,Miami,FL,67678,11.85,High
132,25.77520739,-80.2296705,40837,Miami,FL,41592,6.66,Medium
133,29.74415286,-95.33427174,17979,Houston,TX,46613,1.45,Medium
134,29.75015088,-95.32690636,23965,Houston,TX,46596,9.1,Medium
135,29.78053521,-95.36815771,40028,Houston,TX,60740,10.95,High
136,25.71202344,-80.16553884,3340,Miami,FL,38425,15.63,Medium
