tower_id,signal_strength_avg,network_downtime_minutes,network_congestion_level,avg_signal_strength
23137,-71.66499132,18,Medium,-69.58041719
35024,-87.87509009,19,Low,-60.03359234
44494,-86.01600697,60,Low,-56.03965876
37673,-69.30281468,107,High,-74.54179357
31619,-76.22404492,132,High,-71.69145022
19402,-86.03486654,99,High,-54.75319777
12835,-75.91162159,61,Low,-73.28366961
21985,-62.57045724,18,Medium,-84.848478
45432,-63.04621793,70,Medium,-79.59590324
42760,-62.43000121,24,Medium,-61.9645738
10722,-74.95902346,100,High,-75.50423144
25163,-108.9765908,119,High,-85.26788237
44485,-116.4959767,36,Medium,-74.40985882
49509,-57.66624911,114,High,-69.96602732
43647,-113.2822348,16,Low,-78.44114053
24670,-100.0662743,121,Low,-70.27316478
16766,-88.22208247,1,High,-65.45880938
9696,-59.61264912,59,Medium,-85.23787048
9711,-115.2850345,23,High,-53.77176705
17789,-76.33147521,25,Medium,-85.35634831
1528,-68.62133002,4,Low,-85.90587841
48874,-89.84779001,22,Low,-82.1719026
23962,-84.33232721,46,Medium,-68.2061921
20905,-101.7534878,132,Low,-74.11064098
18198,-78.79783018,3,High,-86.26272891
45106,-75.85260472,20,Low,-61.27833588
28236,-73.47897354,128,Medium,-61.49132583
21621,-114.0477354,133,High,-55.77135343
29400,-110.0992153,112,Medium,-64.17778597
12862,-59.88380169,43,Low,-66.62381588
6280,-68.68092952,47,Low,-77.56597637
10068,-89.70501641,88,Low,-60.78983665
42093,-79.29244983,74,Low,-72.92466272
14143,-117.9487392,137,Low,-57.29788637
15398,-52.12517613,46,Medium,-68.08644958
23757,-81.29881753,79,Low,-86.54000295
16234,-93.92479072,0,High,-76.96706101
9278,-50.3968742,61,High,-85.69208883
28760,-74.47602205,25,High,-83.58281088
14077,-78.56330503,102,Low,-63.94552237
48196,-66.78336526,6,Low,-60.92550712
36765,-59.43908778,116,High,-61.07410816
20770,-110.9835467,66,High,-51.43075817
16139,-59.93826863,4,Low,-81.28970002
23975,-113.8794393,5,Low,-84.47912425
45992,-97.23399408,118,Medium,-65.19024286
12243,-58.17886458,23,High,-80.52238916
23337,-69.34548778,11,High,-87.18977293
801,-92.9935831,133,High,-86.86577215
14806,-96.59994071,83,High,-84.4034086
23941,-86.85702016,40,High,-71.65322559
9772,-53.00893521,38,Medium,-80.73987538
10995,-74.94470587,46,High,-54.71611041
3234,-66.49087009,52,Low,-66.85650405
