customer_id,monthly_spending,credit_score,payment_method,avg_payment_delay,payment_behavior_index,credit_limit
1,676,399,Debit Card,0,0.72,7757
2,725,600,Debit Card,6,0.03,11194
3,997,619,E-Wallet,0,0.22,13895
4,798,702,Credit Card,14,0.93,19001
5,80,738,Credit Card,9,0.32,11040
6,743,784,E-Wallet,3,0.65,18977
7,606,383,Credit Card,2,0.35,2954
8,785,791,Bank Transfer,2,0.55,1482
9,333,690,Debit Card,2,0.97,5180
10,791,487,E-Wallet,11,0.27,15442
11,607,320,Credit Card,3,0.59,17062
12,791,351,Debit Card,7,0.38,11691
13,427,787,Debit Card,7,0.29,10300
14,869,812,Credit Card,1,0.48,19654
15,531,668,Bank Transfer,6,0.29,12698
16,799,349,Credit Card,8,0.8,17056
17,284,676,Credit Card,7,0.48,19513
18,400,490,Credit Card,2,0.85,15555
19,525,755,Debit Card,8,0.54,15737
20,46,571,Credit Card,14,0.41,1301
21,151,480,E-Wallet,10,0.98,9912
22,488,555,Bank Transfer,3,0.37,13335
23,351,492,Bank Transfer,5,0.88,7059
24,287,744,Debit Card,8,0.54,10707
25,897,340,E-Wallet,9,0.33,3596
26,742,710,Credit Card,13,0.92,3691
27,717,434,Bank Transfer,3,0.5,3953
28,808,828,E-Wallet,8,0.47,14147
29,835,329,Bank Transfer,1,0.61,1771
30,417,783,E-Wallet,14,0.24,12718
31,715,544,Credit Card,10,0,10787
32,50,536,Debit Card,10,0.5,9040
33,896,513,E-Wallet,1,0.27,17627
34,292,581,Credit Card,14,0.34,17711
35,645,658,Bank Transfer,11,0.78,11151
36,872,788,Bank Transfer,14,0.13,16816
37,773,502,Debit Card,6,0.63,19861
38,770,620,E-Wallet,8,0.52,11149
39,116,473,E-Wallet,0,0.54,10156
40,128,750,Debit Card,7,0.35,17700
41,548,528,Debit Card,0,0.89,1755
42,548,553,Credit Card,13,0.06,6401
43,231,545,E-Wallet,14,0.58,4191
44,960,833,Bank Transfer,2,0.76,19702
45,722,734,Debit Card,4,0.11,8276
46,719,662,Debit Card,5,0.78,15599
47,444,583,Bank Transfer,0,0.84,9940
48,111,430,Bank Transfer,7,0.37,4472
49,645,532,Credit Card,0,0.54,1773
50,343,394,Credit Card,0,0.34,9991
51,828,845,Credit Card,3,0.45,5688
52,438,833,Debit Card,6,0.21,10768
53,282,591,Bank Transfer,7,0.62,7273
54,321,378,Debit Card,3,0.01,19473
55,123,843,Bank Transfer,11,0.41,6609
56,78,777,Credit Card,13,0.84,10137
57,734,849,E-Wallet,12,0.01,18890
58,138,412,Debit Card,13,0.04,5977
59,382,607,Bank Transfer,6,0.75,19410
60,251,576,Debit Card,13,0.54,9130
61,563,727,Credit Card,5,0.22,6493
62,975,400,Credit Card,5,0.65,12402
63,877,556,E-Wallet,0,0.55,14892
64,146,431,E-Wallet,9,0.22,13468
65,48,530,Debit Card,6,0.14,16601
66,875,678,E-Wallet,6,0.34,4951
67,479,533,Bank Transfer,9,0.51,1429
68,795,741,Credit Card,5,0.32,3374
69,140,801,Bank Transfer,13,0.93,11761
70,176,387,E-Wallet,12,0.97,12706
71,865,530,Credit Card,10,0.21,14851
72,559,651,Credit Card,11,0.62,1139
73,474,774,Credit Card,13,0.85,8696
74,257,688,E-Wallet,8,0.49,18561
75,699,792,Bank Transfer,7,0.42,17609
76,34,780,E-Wallet,5,0.8,17328
77,82,504,Credit Card,7,0.58,19207
78,901,392,E-Wallet,11,0.71,5029
79,215,775,Bank Transfer,4,0.56,16342
80,770,367,Debit Card,3,0.29,4641
81,913,488,Credit Card,1,0.05,4722
82,904,398,Bank Transfer,6,0.58,3834
83,57,788,E-Wallet,12,0.89,2358
84,843,408,E-Wallet,1,0.39,18494
85,369,571,E-Wallet,2,0.75,11469
86,925,604,E-Wallet,13,0.38,5766
87,508,651,E-Wallet,11,0.8,14898
88,278,843,E-Wallet,0,0.24,12047
89,703,726,Debit Card,6,0.74,4643
90,80,427,E-Wallet,5,0.35,19382
91,293,839,Credit Card,8,0.07,6216
92,112,309,Credit Card,8,0.69,16000
93,483,498,E-Wallet,3,0.14,14510
94,719,571,E-Wallet,8,0.28,1744
95,635,452,Debit Card,11,0.31,18541
96,216,840,Credit Card,9,0.24,12411
97,422,414,Credit Card,7,0.48,7288
98,974,676,E-Wallet,7,0.65,3815
99,277,605,Bank Transfer,14,0.2,2678
100,690,510,Credit Card,14,0.96,8136
101,52,365,E-Wallet,12,0.71,10269
102,635,799,Bank Transfer,0,0.9,17504
103,666,462,Bank Transfer,4,0.64,19596
104,32,406,E-Wallet,3,0.15,11543
105,319,616,Credit Card,7,0.32,19395
106,138,525,Bank Transfer,4,0.92,11255
107,843,524,Bank Transfer,13,0.53,1559
108,360,833,Credit Card,11,0.2,19930
109,769,699,E-Wallet,12,0.75,8544
110,187,733,Credit Card,4,0.88,18137
111,285,515,E-Wallet,5,0.62,16011
112,348,360,Bank Transfer,5,0.1,17689
113,352,501,Debit Card,5,0.66,12254
114,611,470,E-Wallet,5,0.98,6322
115,703,537,Bank Transfer,9,0.8,5712
116,447,684,Bank Transfer,14,0.97,2099
117,795,385,E-Wallet,0,0.2,13633
118,276,414,Credit Card,3,0.97,8263
119,109,416,Credit Card,11,0.32,3169
120,506,713,Bank Transfer,11,0.62,17426
121,819,799,Credit Card,2,0.68,8395
122,693,574,Bank Transfer,0,0.34,4667
123,247,361,Debit Card,13,0.56,11972
