customer_id,internet_usage_gb,internet_speed_avg_mbps,latency_ms,weekend_data_ratio,peak_usage_hour
1,231.89,222.635,15.051,0.76,14
2,150.69,140.111,14.051,0.22,3
3,220.99,104.691,5.766,0.87,17
4,107.88,176.618,109.591,0.88,19
5,22.37,385.083,114.533,0.12,22
6,140.65,365.381,37.7,0.14,15
7,244.89,209.901,164.722,0.24,6
8,7.73,91.448,117.204,0.86,7
9,270.93,366.945,168.925,0.22,23
10,131.89,263.509,36.783,0.15,11
11,125.69,82.732,125.748,0.5,22
12,220.91,290.755,138.666,0.86,0
13,217.29,181.173,7.029,0.28,22
14,298.03,252.327,183.314,0.86,10
15,268.53,38.839,14.464,0.23,7
16,149.17,343.815,52.899,0.12,4
17,171.51,214.159,113.176,0.33,16
18,6.93,127.97,184.35,0.75,8
19,28.75,183.294,40.2,0.12,17
20,265.89,225.623,123.292,0.41,18
21,117.55,87.775,43.117,0.86,1
22,47.11,394.145,85.466,0.15,14
23,57.36,199.495,62.951,0.78,19
24,257.63,94.07,28.447,0.15,6
25,241.83,110.611,161.343,0.86,17
26,168.6,197.219,119.435,0.68,22
27,206.12,143.302,89.877,0.1,19
28,40.85,182.85,111.585,0.49,19
29,227.39,213.531,120.199,0.86,20
30,20.55,151.462,63.313,0.61,16
31,224.2,253.287,46.692,0.4,1
32,285.42,60.091,27.326,0.71,19
33,197.96,243.043,143.706,0.51,9
34,281.68,66.964,177.435,0.69,11
35,250.91,68.942,91.699,0.34,12
36,275.58,101.923,123.498,0.29,6
37,201.46,245.048,184.88,0.18,23
38,58.58,215.458,147.856,0.71,5
39,29.89,311.049,65.399,0.62,10
40,2.76,130.263,105.766,0.68,23
41,32.7,336.978,133.978,0.77,11
42,256.86,278.968,33.104,0.38,17
43,217.89,212.812,92.872,0.69,4
44,55.01,152.264,39.876,0.47,14
45,193.38,136.428,92.449,0.69,5
46,179.68,342.666,162.969,0.15,8
47,168.62,78.286,26.195,0.5,8
48,107.63,243.47,56.986,0.89,0
49,253.6,39.438,169.121,0.42,7
50,54.16,274.528,59.746,0.78,15
51,82.45,199.026,163.41,0.41,11
52,172.22,22.647,72.948,0.9,6
53,161.67,254.548,122.313,0.73,3
54,113.35,168.946,10.224,0.62,12
55,239.5,177.461,178.964,0.55,13
56,99.68,211.913,15.886,0.24,21
57,199.78,298.141,82.825,0.54,11
58,113.34,291.629,152.405,0.55,23
59,213.15,341.673,130.101,0.85,6
60,167.91,238.76,187.912,0.72,6
61,8.06,135.71,185.98,0.21,14
62,270.77,73.264,184.511,0.31,1
63,203.85,46.009,16.002,0.52,12
64,221.15,10.544,180.105,0.57,18
65,239.58,391.485,84.154,0.1,15
66,269.16,333.775,126.362,0.27,19
67,32.14,224.996,32.44,0.62,19
68,179.07,202.789,134.081,0.3,16
69,161.09,33.29,39.373,0.47,14
70,91.03,357.514,135.022,0.1,7
71,156.68,4.064,159.822,0.53,7
72,135.29,306.548,50.495,0.77,19
73,172.63,312.826,181.698,0.88,0
74,122.6,384.925,136.472,0.12,4
75,293.23,147.499,40.237,0.74,13
76,94.42,91.551,106.695,0.41,18
77,9.79,176.39,176.303,0.32,11
78,56.42,289.687,176.784,0.31,23
79,148.78,111.471,35.134,0.14,23
80,120.7,199.77,111.272,0.11,12
81,178.22,12.271,129.689,0.9,16
82,233.02,192.21,164.993,0.22,12
83,116.13,283.917,32.323,0.17,23
84,76.57,34.14,143.705,0.63,19
85,187.24,47.674,106.996,0.51,19
86,28.83,100.628,33.396,0.46,20
