customer_id,num_failed_logins,num_fraud_attempts,encryption_type,biometric_auth,two_factor_auth,recent_security_update,firewall_enabled
1,5,2,WiFi,Enabled,FALSE,FALSE,Yes
2,8,0,WiFi,Enabled,FALSE,TRUE,No
3,2,4,5G,Disabled,TRUE,FALSE,Yes
4,2,1,5G,Enabled,TRUE,FALSE,No
5,0,3,WiFi,Enabled,TRUE,TRUE,Yes
6,5,0,4G,Disabled,FALSE,FALSE,Yes
7,3,3,WiFi,Enabled,FALSE,TRUE,Yes
8,0,4,3G,Enabled,FALSE,TRUE,No
9,7,4,WiFi,Disabled,TRUE,FALSE,No
10,3,2,WiFi,Disabled,TRUE,TRUE,Yes
11,4,3,5G,Disabled,TRUE,TRUE,Yes
12,4,4,WiFi,Enabled,TRUE,FALSE,Yes
13,8,4,5G,Enabled,FALSE,TRUE,Yes
14,7,1,5G,Enabled,TRUE,TRUE,No
15,1,3,4G,Disabled,TRUE,TRUE,No
16,7,1,5G,Disabled,TRUE,FALSE,Yes
17,2,4,5G,Disabled,FALSE,FALSE,No
18,5,1,5G,Disabled,FALSE,TRUE,No
19,9,0,3G,Disabled,FALSE,TRUE,Yes
20,3,1,5G,Enabled,FALSE,FALSE,Yes
21,1,2,5G,Enabled,FALSE,TRUE,No
22,6,1,4G,Disabled,FALSE,TRUE,No
23,0,2,5G,Enabled,TRUE,TRUE,Yes
24,7,3,5G,Enabled,TRUE,FALSE,No
25,3,2,WiFi,Disabled,FALSE,FALSE,Yes
26,4,3,WiFi,Enabled,FALSE,TRUE,No
27,6,3,5G,Disabled,FALSE,TRUE,No
28,2,4,3G,Enabled,FALSE,TRUE,Yes
29,8,1,WiFi,Disabled,TRUE,TRUE,Yes
30,1,0,3G,Enabled,TRUE,TRUE,Yes
31,9,2,3G,Enabled,FALSE,TRUE,Yes
32,3,0,5G,Enabled,FALSE,TRUE,Yes
33,9,0,5G,Enabled,FALSE,TRUE,Yes
34,6,0,4G,Enabled,TRUE,FALSE,No
35,2,1,WiFi,Enabled,TRUE,TRUE,Yes
36,0,1,4G,Enabled,FALSE,FALSE,No
37,7,0,WiFi,Enabled,TRUE,FALSE,Yes
38,8,3,3G,Disabled,FALSE,TRUE,No
39,1,0,WiFi,Disabled,FALSE,TRUE,No
40,3,3,4G,Enabled,TRUE,TRUE,Yes
41,6,2,3G,Enabled,FALSE,TRUE,Yes
42,9,3,5G,Disabled,TRUE,TRUE,No
43,1,2,WiFi,Disabled,FALSE,FALSE,Yes
44,1,3,3G,Enabled,FALSE,TRUE,Yes
45,2,2,5G,Disabled,FALSE,TRUE,Yes
46,2,2,WiFi,Disabled,FALSE,TRUE,No
47,1,3,4G,Disabled,TRUE,TRUE,Yes
48,9,3,5G,Disabled,TRUE,TRUE,Yes
49,0,3,WiFi,Enabled,TRUE,TRUE,Yes
50,6,2,4G,Disabled,TRUE,FALSE,Yes
51,1,0,3G,Enabled,FALSE,TRUE,No
52,9,0,3G,Disabled,FALSE,TRUE,Yes
53,1,1,5G,Enabled,FALSE,TRUE,Yes
54,4,2,WiFi,Enabled,FALSE,FALSE,No
55,7,0,WiFi,Disabled,TRUE,TRUE,Yes
56,0,4,3G,Disabled,FALSE,TRUE,No
57,8,0,WiFi,Enabled,FALSE,TRUE,No
58,7,0,4G,Disabled,FALSE,TRUE,Yes
59,3,2,4G,Enabled,FALSE,TRUE,Yes
60,1,0,5G,Disabled,TRUE,TRUE,Yes
61,7,2,4G,Disabled,FALSE,TRUE,Yes
62,2,1,5G,Enabled,FALSE,TRUE,No
63,6,4,5G,Disabled,TRUE,TRUE,No
64,9,2,WiFi,Enabled,FALSE,FALSE,No
65,2,0,5G,Enabled,TRUE,TRUE,No
66,8,2,WiFi,Disabled,FALSE,TRUE,No
67,6,1,WiFi,Disabled,FALSE,TRUE,Yes
68,5,1,5G,Disabled,FALSE,FALSE,Yes
69,8,4,5G,Enabled,TRUE,TRUE,Yes
70,7,4,5G,Disabled,TRUE,FALSE,Yes
71,7,2,3G,Enabled,FALSE,TRUE,No
72,1,3,3G,Disabled,TRUE,FALSE,No
73,0,0,WiFi,Enabled,FALSE,TRUE,Yes
74,3,3,4G,Disabled,FALSE,TRUE,No
75,2,3,4G,Disabled,FALSE,TRUE,Yes
76,4,2,3G,Enabled,TRUE,TRUE,Yes
77,9,0,4G,Disabled,TRUE,TRUE,Yes
78,2,3,3G,Disabled,FALSE,TRUE,No
79,5,2,3G,Disabled,TRUE,TRUE,Yes
80,0,4,WiFi,Disabled,TRUE,FALSE,No
81,4,4,4G,Enabled,FALSE,TRUE,No
82,0,4,4G,Enabled,TRUE,TRUE,No
83,4,4,3G,Enabled,TRUE,TRUE,No
84,1,4,4G,Disabled,FALSE,TRUE,Yes
85,0,0,WiFi,Enabled,FALSE,TRUE,No
86,4,2,WiFi,Disabled,FALSE,FALSE,No
87,5,1,4G,Enabled,TRUE,TRUE,No
88,3,4,5G,Enabled,TRUE,TRUE,Yes
89,9,4,WiFi,Disabled,TRUE,TRUE,No
90,0,3,WiFi,Enabled,FALSE,TRUE,Yes
91,9,4,4G,Enabled,FALSE,FALSE,No
92,1,1,3G,Enabled,TRUE,TRUE,No
93,5,3,WiFi,Enabled,TRUE,TRUE,No
94,1,2,5G,Disabled,TRUE,TRUE,No
95,5,1,WiFi,Disabled,TRUE,TRUE,No
96,6,1,4G,Disabled,FALSE,FALSE,No
97,3,0,4G,Enabled,FALSE,TRUE,Yes
98,3,0,4G,Disabled,TRUE,TRUE,Yes
99,4,3,WiFi,Enabled,FALSE,FALSE,Yes
100,9,2,WiFi,Enabled,FALSE,TRUE,No
101,8,0,5G,Enabled,TRUE,FALSE,No
102,1,4,3G,Disabled,TRUE,FALSE,Yes
103,3,4,5G,Disabled,FALSE,TRUE,Yes
104,9,1,5G,Enabled,FALSE,TRUE,Yes
105,4,3,3G,Enabled,TRUE,TRUE,Yes
106,2,4,5G,Disabled,FALSE,TRUE,Yes
107,3,3,4G,Enabled,FALSE,FALSE,Yes
108,9,0,WiFi,Enabled,FALSE,TRUE,Yes
109,7,0,WiFi,Disabled,TRUE,TRUE,Yes
110,3,0,4G,Enabled,FALSE,TRUE,No
111,8,3,WiFi,Enabled,TRUE,TRUE,No
112,5,1,5G,Disabled,TRUE,TRUE,No
113,5,3,3G,Disabled,FALSE,TRUE,Yes
114,0,0,5G,Disabled,FALSE,TRUE,Yes
115,7,1,3G,Disabled,FALSE,FALSE,No
116,7,1,3G,Enabled,TRUE,TRUE,No
117,3,4,WiFi,Enabled,FALSE,TRUE,No
118,6,2,4G,Enabled,TRUE,TRUE,No
119,1,0,4G,Enabled,FALSE,TRUE,Yes
120,0,1,4G,Enabled,TRUE,TRUE,Yes
121,7,1,3G,Disabled,TRUE,TRUE,No
122,3,2,5G,Enabled,TRUE,TRUE,No
123,0,1,4G,Enabled,TRUE,TRUE,Yes
124,6,2,4G,Disabled,FALSE,TRUE,No
125,0,2,5G,Enabled,FALSE,FALSE,No
126,5,3,5G,Disabled,TRUE,TRUE,Yes
127,8,2,5G,Disabled,FALSE,TRUE,Yes
128,5,4,5G,Disabled,TRUE,TRUE,No
129,5,2,WiFi,Enabled,FALSE,TRUE,No
130,7,1,4G,Disabled,FALSE,TRUE,Yes
131,5,1,5G,Enabled,FALSE,FALSE,No
132,7,0,WiFi,Enabled,FALSE,TRUE,No
133,0,3,5G,Enabled,TRUE,FALSE,No
134,4,1,WiFi,Disabled,TRUE,TRUE,Yes
135,6,0,4G,Disabled,FALSE,FALSE,Yes
136,0,4,5G,Disabled,FALSE,FALSE,No
137,9,4,WiFi,Disabled,TRUE,FALSE,Yes
138,5,0,WiFi,Enabled,TRUE,TRUE,No
139,6,0,5G,Disabled,FALSE,TRUE,Yes
140,8,2,4G,Enabled,FALSE,TRUE,Yes
141,3,3,4G,Disabled,TRUE,FALSE,No
142,3,1,3G,Enabled,FALSE,TRUE,Yes
143,8,1,5G,Enabled,FALSE,FALSE,Yes
144,7,1,WiFi,Enabled,FALSE,TRUE,No
145,4,2,5G,Disabled,FALSE,FALSE,No
146,5,0,WiFi,Disabled,FALSE,TRUE,No
147,4,2,4G,Enabled,FALSE,TRUE,No
148,4,4,WiFi,Disabled,FALSE,TRUE,Yes
149,8,4,4G,Disabled,FALSE,TRUE,No
150,5,0,5G,Enabled,FALSE,TRUE,No
151,6,1,5G,Enabled,TRUE,FALSE,Yes
152,1,3,WiFi,Enabled,FALSE,TRUE,Yes
153,7,4,4G,Disabled,FALSE,TRUE,Yes
154,5,2,5G,Enabled,FALSE,TRUE,No
155,9,4,3G,Disabled,TRUE,TRUE,Yes
156,6,2,5G,Disabled,FALSE,FALSE,No
157,3,1,5G,Enabled,FALSE,FALSE,No
158,3,0,4G,Disabled,TRUE,TRUE,No
159,8,2,WiFi,Disabled,FALSE,TRUE,No
160,3,3,3G,Disabled,FALSE,TRUE,No
161,8,3,5G,Disabled,TRUE,TRUE,No
162,6,3,WiFi,Enabled,TRUE,FALSE,No
163,6,0,3G,Enabled,TRUE,FALSE,No
164,7,0,WiFi,Enabled,FALSE,TRUE,Yes
165,2,3,WiFi,Disabled,FALSE,TRUE,Yes
166,3,4,5G,Disabled,TRUE,TRUE,No
167,5,4,4G,Enabled,TRUE,TRUE,Yes
168,2,0,WiFi,Disabled,FALSE,TRUE,No
169,7,3,3G,Enabled,FALSE,FALSE,No
170,3,2,3G,Disabled,FALSE,TRUE,Yes
171,1,0,3G,Disabled,TRUE,TRUE,Yes
172,5,2,3G,Disabled,FALSE,FALSE,No
173,4,0,4G,Disabled,FALSE,TRUE,Yes
174,8,3,WiFi,Disabled,FALSE,FALSE,Yes
