customer_id,active_services,monthly_recharges,roaming_status,streaming_service_user,gaming_usage_hours,ar_vr_usage,cloud_storage_user,iot_devices_connected
1,4,3,No,FALSE,0.343,4.692,TRUE,2
2,3,4,Yes,TRUE,3.541,3.765,FALSE,3
3,7,1,Yes,TRUE,21.728,3.058,FALSE,1
4,8,4,Yes,TRUE,4.756,0.948,FALSE,1
5,2,3,No,TRUE,20.615,2.332,FALSE,0
6,8,3,No,TRUE,6.961,3.02,TRUE,3
7,3,1,No,FALSE,14.805,3.112,FALSE,1
8,3,4,Yes,FALSE,11.248,4.936,FALSE,2
9,1,1,No,TRUE,8.572,4.867,FALSE,1
10,9,1,No,TRUE,1.985,4.089,FALSE,3
11,7,1,No,TRUE,3.325,3.954,FALSE,2
12,9,1,No,FALSE,9.762,4.573,FALSE,4
13,4,1,No,FALSE,2.01,2.844,FALSE,4
14,8,2,No,TRUE,22.514,4.081,TRUE,5
15,3,3,Yes,FALSE,8.125,2.331,FALSE,4
16,6,4,No,TRUE,0.121,3.762,FALSE,3
17,1,4,No,TRUE,13.487,4.579,FALSE,1
18,5,1,Yes,TRUE,24.437,2.573,FALSE,2
19,1,2,Yes,TRUE,10.647,4.711,FALSE,3
20,5,2,No,FALSE,22.829,0.198,FALSE,2
21,9,3,Yes,FALSE,16.043,0.861,FALSE,3
22,3,1,Yes,FALSE,3.027,1.892,TRUE,5
23,1,2,No,TRUE,18.322,3.581,TRUE,4
24,1,3,No,FALSE,14.881,3.545,FALSE,2
25,5,1,Yes,TRUE,12.948,1.716,FALSE,5
26,1,4,Yes,FALSE,28.366,0.311,FALSE,2
27,2,1,Yes,FALSE,8.649,2.557,FALSE,5
28,5,3,Yes,TRUE,16.893,2.89,FALSE,0
29,6,4,No,TRUE,20.76,2.003,FALSE,2
30,3,3,No,FALSE,28.817,4.373,FALSE,0
31,5,2,Yes,TRUE,6.224,2.445,FALSE,1
32,3,4,No,TRUE,22.925,2.447,FALSE,4
33,5,2,No,TRUE,15.993,2.064,FALSE,3
34,9,2,No,FALSE,9.211,4.989,FALSE,2
35,9,4,No,TRUE,19.987,3.1,FALSE,0
36,8,4,No,FALSE,13.795,0.039,FALSE,2
37,5,4,Yes,FALSE,20.328,3.645,TRUE,1
38,1,4,No,FALSE,7.5,3.277,FALSE,5
39,3,3,Yes,FALSE,0.924,4.115,TRUE,5
40,4,3,No,TRUE,11.537,4.351,FALSE,5
41,3,3,Yes,FALSE,8.892,3.888,FALSE,4
42,3,1,No,TRUE,17.274,1.599,FALSE,5
43,8,1,Yes,TRUE,1.931,2.712,TRUE,2
44,6,2,No,TRUE,11.474,0.455,FALSE,4
45,4,3,Yes,FALSE,24.723,4.97,TRUE,4
46,6,4,No,TRUE,5.403,3.556,FALSE,4
47,7,1,Yes,TRUE,17.619,1.63,FALSE,4
48,4,2,No,TRUE,24.402,4.941,FALSE,2
49,9,1,No,TRUE,0.611,3.094,FALSE,4
50,2,2,Yes,FALSE,29.356,4.855,FALSE,4
51,9,2,Yes,TRUE,13.343,0.791,FALSE,1
52,9,1,No,TRUE,27.082,1.996,TRUE,4
53,8,3,Yes,TRUE,14.298,3.744,TRUE,3
54,6,2,Yes,TRUE,4.079,1.998,FALSE,5
55,1,2,Yes,FALSE,0.528,0.282,TRUE,4
56,8,4,Yes,TRUE,14.521,2.392,FALSE,0
57,2,3,No,TRUE,28.536,1.633,FALSE,5
58,8,4,Yes,FALSE,0.419,3.751,FALSE,1
59,3,2,No,TRUE,19.06,3.741,FALSE,3
60,5,3,No,TRUE,4.47,1.075,TRUE,2
61,8,3,No,TRUE,23.465,1.992,TRUE,2
62,2,2,Yes,TRUE,27.924,1.248,FALSE,1
63,8,2,Yes,TRUE,6.55,0.616,FALSE,0
64,6,2,Yes,FALSE,13.374,4.689,FALSE,1
65,5,4,Yes,TRUE,12.908,2.152,FALSE,3
66,3,4,No,FALSE,20.022,4.637,FALSE,0
67,9,3,Yes,FALSE,17.902,3.921,FALSE,0
68,8,4,Yes,TRUE,4.835,0.492,FALSE,0
69,6,1,Yes,TRUE,29.846,1.904,TRUE,1
70,5,3,Yes,TRUE,3.002,2.145,TRUE,0
71,1,2,Yes,TRUE,15.072,3.936,FALSE,5
72,9,3,Yes,FALSE,7.715,3.813,FALSE,3
73,2,3,Yes,FALSE,7.015,3.448,FALSE,3
74,4,4,Yes,TRUE,17.059,1.457,FALSE,3
75,8,3,No,FALSE,15.053,3.218,FALSE,5
76,3,2,Yes,FALSE,25.202,0.895,FALSE,4
77,4,4,No,TRUE,24.465,0.289,FALSE,1
78,2,1,No,TRUE,14.231,1.112,FALSE,2
79,1,1,Yes,TRUE,24.361,3.008,FALSE,4
80,3,4,No,TRUE,18.974,4.214,FALSE,1
81,9,2,No,FALSE,6.201,2.495,FALSE,5
82,2,3,No,FALSE,9.336,2.83,TRUE,1
83,6,1,No,TRUE,27.532,3.987,FALSE,1
84,1,4,Yes,FALSE,3.231,1.999,FALSE,0
85,7,3,Yes,TRUE,25.094,2.495,FALSE,2
86,4,3,No,TRUE,11.573,2.536,FALSE,4
87,4,4,Yes,FALSE,12.061,0.669,FALSE,5
88,8,3,Yes,TRUE,6.681,3.848,FALSE,5
89,6,1,Yes,FALSE,23.217,0.084,FALSE,1
90,7,4,Yes,FALSE,6.299,2.784,TRUE,1
91,8,1,No,FALSE,2.578,3.098,FALSE,1
92,8,1,Yes,FALSE,15.594,1.287,TRUE,1
93,5,4,No,FALSE,3.364,1.512,TRUE,5
94,1,4,No,FALSE,12.787,1.67,FALSE,2
95,7,1,No,TRUE,0.724,4.971,FALSE,5
96,4,1,Yes,TRUE,28.969,2.449,TRUE,2
97,9,4,Yes,TRUE,29.929,3.463,FALSE,2
98,1,4,No,TRUE,25.931,3.68,FALSE,3
99,5,1,No,TRUE,16.89,4.569,FALSE,2
100,9,2,Yes,TRUE,14.074,2.291,FALSE,5
101,5,1,Yes,TRUE,12.978,2.344,FALSE,2
102,9,4,No,TRUE,27.76,0.881,FALSE,0
103,1,1,No,FALSE,15.221,4.654,FALSE,4
104,2,3,Yes,FALSE,25.665,0.387,FALSE,5
105,5,2,Yes,FALSE,27.288,4.679,FALSE,3
106,7,4,No,FALSE,10.365,0.758,FALSE,3
107,2,1,No,FALSE,0.539,3.965,FALSE,5
108,3,4,No,TRUE,12.658,3.448,FALSE,0
109,2,4,Yes,TRUE,17.294,2.13,FALSE,4
110,4,1,Yes,FALSE,0.241,4.601,TRUE,4
111,3,4,No,TRUE,27.91,3.778,TRUE,1
112,7,3,Yes,TRUE,19.442,4.978,FALSE,4
113,6,3,No,FALSE,8.35,1.862,FALSE,5
114,3,4,Yes,TRUE,20.022,1.958,FALSE,3
115,8,3,Yes,FALSE,28.051,4.63,FALSE,4
116,3,4,Yes,FALSE,16.333,0.981,FALSE,2
117,9,4,No,TRUE,8.945,1.63,FALSE,1
118,4,4,No,TRUE,21.408,3.507,FALSE,1
119,7,3,Yes,TRUE,8.064,1.565,TRUE,1
120,7,2,Yes,FALSE,15.135,3.97,FALSE,0
121,1,4,No,FALSE,27.299,0.574,FALSE,1
122,2,3,Yes,FALSE,16.88,4.279,TRUE,3
123,9,3,Yes,TRUE,16.003,1.744,FALSE,2
124,1,1,No,TRUE,26.451,2.329,FALSE,4
125,3,4,No,FALSE,16.089,2.638,TRUE,2
126,8,1,No,TRUE,4.827,2.07,TRUE,1
127,7,2,Yes,TRUE,3.786,2.628,TRUE,5
128,3,2,Yes,FALSE,1.655,4.113,FALSE,2
129,8,3,Yes,TRUE,3.65,2.126,FALSE,3
130,7,3,Yes,TRUE,4.887,2.227,FALSE,4
131,9,1,Yes,TRUE,15.214,2.001,FALSE,2
132,2,2,No,FALSE,25.356,3.994,FALSE,4
133,5,3,Yes,TRUE,17.382,4.183,FALSE,5
134,3,2,No,TRUE,18.133,2.463,FALSE,4
135,4,3,Yes,TRUE,17.365,1.239,FALSE,2
136,3,3,No,TRUE,2.574,0.795,FALSE,1
137,7,4,No,TRUE,26.812,4.682,FALSE,0
138,8,2,Yes,TRUE,9.418,0.191,TRUE,0
139,6,3,No,TRUE,13.139,2.398,TRUE,5
140,4,2,No,FALSE,6.044,0.569,TRUE,3
141,9,2,Yes,TRUE,18.848,0.958,FALSE,2
142,4,2,Yes,FALSE,28.608,0.477,FALSE,3
143,3,3,No,TRUE,27.528,1.845,FALSE,4
144,5,4,No,TRUE,3.638,2.311,FALSE,5
145,5,1,No,TRUE,10.561,0.545,TRUE,0
146,5,1,Yes,FALSE,5.65,1.233,FALSE,3
147,7,2,No,TRUE,24.101,4.067,FALSE,2
148,8,1,No,FALSE,28.818,0.462,TRUE,1
149,3,4,No,TRUE,15.579,3.512,FALSE,3
150,6,1,No,FALSE,24.668,0.036,FALSE,4
151,3,3,No,TRUE,26.807,3.355,TRUE,4
152,4,1,Yes,FALSE,14.672,1.124,TRUE,1
153,1,4,Yes,FALSE,21.696,2.668,FALSE,2
154,7,1,No,FALSE,22.932,2.869,FALSE,3
155,9,3,Yes,TRUE,6.202,3.291,FALSE,0
156,9,4,Yes,TRUE,8.295,2.065,FALSE,0
157,1,3,No,TRUE,18.293,0.629,FALSE,0
158,9,3,No,TRUE,25.972,1.426,FALSE,4
159,1,1,Yes,FALSE,16.23,3.785,FALSE,2
160,7,2,No,TRUE,12.103,4.708,FALSE,5
161,9,2,No,TRUE,8.822,1.452,FALSE,3
162,9,2,Yes,TRUE,6.721,0.668,FALSE,1
163,6,4,No,FALSE,18.04,0.899,FALSE,0
164,6,2,Yes,FALSE,12.838,4.572,FALSE,0
165,5,1,No,TRUE,25.352,2.379,TRUE,1
166,5,4,No,FALSE,10.133,0.322,FALSE,2
167,5,4,No,FALSE,20.338,1.206,FALSE,3
168,6,4,Yes,TRUE,10.333,3.261,FALSE,4
169,8,2,No,TRUE,26.363,4.77,FALSE,4
170,3,3,Yes,TRUE,20.375,0.548,FALSE,1
171,4,4,Yes,TRUE,16.36,0.965,FALSE,1
172,9,4,No,TRUE,28.521,2.912,FALSE,0
173,2,2,No,TRUE,1.39,2.938,FALSE,4
174,7,4,Yes,TRUE,11.331,4.439,FALSE,5
175,5,1,No,TRUE,14.79,0.101,TRUE,4
176,8,2,No,TRUE,3.971,0.945,TRUE,3
177,5,2,No,FALSE,3.052,2.762,FALSE,1
178,6,3,Yes,TRUE,20.355,1.615,FALSE,2
179,9,2,No,TRUE,10.813,4.563,FALSE,4
180,2,4,No,FALSE,23.396,1.992,FALSE,0
181,3,1,No,TRUE,24.698,1.513,FALSE,4
182,3,4,Yes,FALSE,28.124,0.511,FALSE,4
183,6,3,Yes,TRUE,17.862,3.593,FALSE,2
184,7,1,Yes,TRUE,10.695,3.836,FALSE,3
185,9,2,Yes,TRUE,16.292,4.538,FALSE,4
186,6,3,Yes,FALSE,13.625,1.402,FALSE,4
187,4,1,No,TRUE,21.643,1.892,FALSE,3
188,3,4,Yes,FALSE,19.822,0.586,TRUE,5
189,4,2,No,TRUE,10.84,0.235,FALSE,5
190,3,2,Yes,TRUE,22.184,2.141,TRUE,4
191,6,2,Yes,TRUE,5.25,0.647,TRUE,2
192,6,1,Yes,TRUE,19.98,3.263,FALSE,5
193,8,4,No,TRUE,8.741,2.132,FALSE,1
194,4,3,Yes,TRUE,5.654,1.626,FALSE,0
195,1,2,Yes,FALSE,29.726,3.151,FALSE,4
196,9,1,Yes,FALSE,7.49,3.042,FALSE,4
197,1,1,Yes,TRUE,29.354,4.142,FALSE,5
198,9,4,Yes,TRUE,10.632,3.551,FALSE,4
199,6,2,No,FALSE,25.766,0.973,FALSE,4
200,8,4,No,FALSE,11.49,4.313,TRUE,0
201,4,3,No,TRUE,5.667,1.476,FALSE,4
202,7,1,No,TRUE,18.441,0.622,TRUE,5
203,5,2,No,FALSE,4.256,1.819,FALSE,0
204,2,3,No,FALSE,22.335,4.108,FALSE,5
205,3,3,Yes,TRUE,14.236,1.448,FALSE,2
206,5,3,No,FALSE,12.212,0.192,FALSE,4
207,5,4,No,FALSE,16.611,1.816,TRUE,3
208,6,3,Yes,FALSE,7.799,3.925,TRUE,2
209,9,2,Yes,FALSE,11.405,1.748,FALSE,2
210,5,17,Yes,FALSE,24.793,0.841,FALSE,2
211,5,1,Yes,FALSE,12.878,0.877,FALSE,0
212,3,4,Yes,TRUE,21.294,2.22,FALSE,0
213,9,2,Yes,FALSE,3.038,2.43,TRUE,0
214,8,4,No,FALSE,15.045,2.065,TRUE,4
215,9,4,No,TRUE,13.486,0.98,FALSE,0
216,9,1,No,TRUE,21.119,1.683,TRUE,1
217,3,4,Yes,TRUE,6.253,4.573,FALSE,2
218,6,1,Yes,FALSE,18.181,0.288,TRUE,3
219,6,3,No,FALSE,15.333,3.377,FALSE,1
220,3,4,Yes,FALSE,22.673,3.208,FALSE,4
221,8,1,Yes,FALSE,26.711,4.618,TRUE,0
222,2,4,No,FALSE,14.812,1.975,FALSE,3
223,1,1,No,TRUE,7.003,1.567,FALSE,3
224,1,1,No,FALSE,23.919,4.837,FALSE,0
225,9,4,Yes,FALSE,4.556,4.714,TRUE,1
226,3,3,Yes,TRUE,2.419,3.209,FALSE,3
